         11663802 function calls (11653632 primitive calls) in 8.212 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
  1578055    0.643    0.000    3.588    0.000 <__array_function__ internals>:2(argmin)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
       11    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(copy)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
    12000    0.006    0.000    0.092    0.000 <__array_function__ internals>:2(delete)
       10    0.000    0.000    0.020    0.002 <__array_function__ internals>:2(sum)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1002(_gcd_import)
  714/136    0.001    0.000    0.651    0.005 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     1186    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      536    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      536    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:147(__enter__)
      536    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1186    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      532    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      650    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    770/4    0.000    0.000    0.774    0.194 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     4982    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      578    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      450    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      939    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:376(cached)
      951    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
      511    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
      511    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  511/368    0.001    0.000    0.210    0.001 <frozen importlib._bootstrap>:549(module_from_spec)
      532    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:58(__init__)
      8/6    0.000    0.000    0.063    0.011 <frozen importlib._bootstrap>:613(_load_backward_compatible)
    517/4    0.002    0.000    0.776    0.194 <frozen importlib._bootstrap>:650(_load_unlocked)
      526    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(create_module)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
     1186    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
      506    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
     1552    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:863(__enter__)
     1552    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:867(__exit__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:881(_find_spec_legacy)
      526    0.003    0.000    0.095    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:937(_sanity_check)
    535/4    0.002    0.000    0.778    0.194 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    536/4    0.004    0.000    0.778    0.194 <frozen importlib._bootstrap>:986(_find_and_load)
      450    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
      106    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1088(__init__)
    41/20    0.000    0.000    0.201    0.010 <frozen importlib._bootstrap_external>:1099(create_module)
    41/36    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1107(exec_module)
       63    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
      973    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      506    0.002    0.000    0.089    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      506    0.000    0.000    0.090    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
       64    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
      512    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1414(find_loader)
      489    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      936    0.007    0.000    0.091    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       64    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1508(<setcomp>)
       64    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
      900    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
      936    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      489    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      450    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:476(_find_module_shim)
      450    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
     1350    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      450    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      450    0.001    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
     4853    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      489    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
     4853    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      900    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      450    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
    450/4    0.001    0.000    0.776    0.194 <frozen importlib._bootstrap_external>:777(exec_module)
     2381    0.001    0.000    0.086    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      450    0.005    0.000    0.203    0.000 <frozen importlib._bootstrap_external>:849(get_code)
      931    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      450    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
      450    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
      450    0.006    0.000    0.123    0.000 <frozen importlib._bootstrap_external>:969(get_data)
      825    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       64    0.000    0.000    0.003    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        3    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 <string>:1(error)
        1    0.000    0.000    0.000    0.000 <string>:11(com_error)
        1    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 ElementPath.py:334(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.004    0.004 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1140(_ListDataStream)
